Frame,Timestamp,red,yellow,green,blue
587,0:00:19.566,182214,1086,0,0
588,0:00:19.600,182214,1086,0,0
589,0:00:19.633,199656,896,0,0
590,0:00:19.666,200191,888,0,0
591,0:00:19.700,200190,873,0,0
592,0:00:19.733,200217,873,0,0
593,0:00:19.766,200715,817,0,0
594,0:00:19.800,200654,819,0,0
595,0:00:19.833,200696,819,0,0
596,0:00:19.866,200696,819,0,0
597,0:00:19.900,201547,756,0,0
598,0:00:19.933,201554,766,0,0
599,0:00:19.966,201554,766,0,0
600,0:00:20.000,201554,766,0,0
